File_Name,Correlation,Chi-square,Intersection,BHATTACHARYYA,Kullback-Leibler
f1 copy.jpg,1.0,0.0,68.9384,0.0,0.0
f7.jpg,0.0042,493.7108,0.9994,0.9592,1161.0937
f1 half.jpg,0.9233,37.2686,33.6865,0.5511,371.9329
f6.jpg,0.1296,4675.7697,10.0082,0.8814,954.24
f4.jpg,-0.0018,68.9334,0.0117,0.9994,1338.0547
f5.jpg,0.0207,214.9432,1.5433,0.8784,868.025
f2.jpg,0.2273,1970.645,25.1724,0.7618,546.6268
f3.jpg,0.0048,218.9124,0.4632,0.9559,996.473
f8.jpg,-0.0026,1576.7374,2.7413,0.97,1149.2823
f1 gray.jpg,0.0239,1691.2267,0.4479,0.9732,1329.2273
